,Products,depths,Solved
0,FC(F)Oc1ccc(C(F)(F)F)c(I)c1,11.0,False
1,CC(C)(C)c1ccc(Cl)c(OC2CCCC2)c1,11.0,False
2,Cc1c(Br)cccc1C(F)(F)F,2.0,True
3,CCCOc1ccc(Cl)c(C)c1C,11.0,False
4,Clc1ccc(Cl)c2ccccc12,1.0,True
3287,FC(F)(F)c1cc(Oc2ccccc2Cl)cc(C(F)(F)F)c1,1.0,True
6,COc1cc(OC(F)F)c2cccc(Cl)c2c1,11.0,False
4576,COc1c(O)ccc(Cl)c1OC,1.0,True
8,Fc1ccc(I)c(Cl)c1Cl,1.0,True
9,CC(C)(C)c1ccccc1Oc1c(N)cccc1Cl,11.0,False
10,CCc1cccc(Cl)c1OC(C)C,11.0,False
11,CC1CCC(COc2ccccc2Br)CC1,11.0,False
1256,Clc1ccccc1Oc1cc2ccccc2cc1Cl,3.0,True
13,COc1c(Cl)ccc(Br)c1OC,11.0,False
6112,CCCOc1c(Br)cccc1OCC,1.0,True
3906,Ic1cccc2cn[nH]c12,0.0,True
16,Clc1ccccc1OCCCCOc1ccccc1,11.0,False
17,CCOc1ccc(COc2ccccc2Br)cc1,11.0,False
5286,Oc1ccc(O)c(Cl)c1,1.0,True
19,Cc1cccc(CCCOc2ccccc2Oc2ccccc2I)c1,11.0,False
20,CCOc1ccc(OCCCCc2ccccc2)c(Br)c1,11.0,False
21,Ic1ccccc1OC(c1ccccc1)c1ccccc1,11.0,False
22,CC(F)(F)c1cccc(F)c1Oc1ccccc1Cl,11.0,False
508,Fc1ccc2cccc(Br)c2c1,1.0,True
4759,Fc1cccc(F)c1Oc1ccccc1I,1.0,True
25,CCCOc1cccc(-c2ccccc2Br)c1,11.0,False
26,CCOc1ccc(Br)c(OCc2ccccc2)c1,11.0,False
6073,FC(F)(F)c1ccccc1COc1ccccc1I,2.0,True
923,Cc1ccc(Cl)cc1COc1ccccc1I,1.0,True
861,Cc1ccccc1COc1ccccc1Br,2.0,True
30,Brc1cccc2ncccc12,1.0,True
31,Clc1cccc2[nH]nc(Br)c12,2.0,True
32,COc1ccccc1Nc1ccncc1Cl,11.0,False
33,Fc1ccc(I)c(OC2CCCC2)c1F,11.0,False
34,CC(=O)c1cccc(Cl)c1OCc1ccc(OC(F)(F)F)c(OC(F)F)c1,11.0,False
5570,Cc1ccccc1-c1ccccc1I,2.0,True
36,Cc1cccc(C)c1CCCOc1c(C)cccc1I,11.0,False
37,Ic1ccccc1OCC1CCCCCC1,11.0,False
38,Nc1cccc(Br)c1OCCF,11.0,False
39,CCCCNc1c(Cl)cccc1Cl,11.0,False
305,FC(F)(F)c1ccccc1CCCOc1ccccc1I,3.0,True
41,CCCC(Oc1ccccc1I)c1ccccc1,11.0,False
42,Clc1cnccc1OCc1ccccc1,11.0,False
43,Brc1ccnc2ccccc12,1.0,True
44,FC(F)Oc1c(Cl)ccc(Cl)c1Cl,2.0,True
45,CC(C)COc1c(N)cccc1Br,11.0,False
46,Cc1ccc(I)c(OC(C)C)c1C,11.0,False
47,Cc1c(O)c(I)cc2ccccc12,1.0,True
48,CCOc1ccccc1COc1c(I)cccc1OC,11.0,False
49,Clc1ccc(CC2(COc3ccccc3Cl)CCCCC2)c(Cl)c1,11.0,False
1859,O=[N+]([O-])c1ccc(Cl)c(Cl)c1OC(F)(F)F,2.0,True
512,Clc1cc(Cl)c(Oc2ccccc2I)cc1Cl,6.0,True
52,COc1cc(Oc2ccccc2Cl)c(F)cc1F,7.0,True
53,Nc1ccccc1Br,1.0,True
3636,Oc1ccc(COc2ccccc2Cl)cc1,1.0,True
55,FC(F)(F)C(F)(F)COc1ccccc1Br,11.0,False
56,FC(F)(F)c1ccc(Cl)c(C(F)(F)F)c1,3.0,True
5916,FC(F)(F)Oc1cc(Cl)ccc1Br,1.0,True
58,FC(F)(F)c1c(Cl)cccc1I,2.0,True
59,Clc1cccc(-c2cccnc2)c1,11.0,False
60,Oc1ccc(Br)c2ccccc12,1.0,True
61,CCCOc1c(COc2ccccc2I)cccc1OCC(F)(F)F,11.0,False
62,FCCCCOc1ccccc1COc1ccccc1Cl,11.0,False
63,COc1cc(Br)c2ccccc2c1Cl,2.0,True
557,Brc1ccccc1-c1ccncc1,0.0,True
65,Fc1cc(C2CCCc3ccccc32)ccc1Cl,10.0,True
66,COc1nccc(Br)c1OC,1.0,True
67,CCOc1ccc(OC)c(I)c1,11.0,False
68,CCc1ccccc1Oc1ccccc1Cl,11.0,False
69,CCC(C)Oc1ccccc1Cl,11.0,False
3515,Clc1ccccc1Oc1ccc2ccccc2c1,2.0,True
2048,FC(F)(F)c1cccc(C(F)(F)F)c1Br,2.0,True
72,FC(F)Oc1ccc(Cl)c(Cl)c1,3.0,True
73,CSc1ccccc1I,3.0,True
826,Fc1ccc(COc2ccccc2I)cc1C(F)(F)F,1.0,True
76,Nc1cccc(I)c1OCC(F)F,11.0,False
77,Fc1cccc(I)c1OCc1cccc(C(F)(F)F)c1,2.0,True
3362,Fc1cc(Cl)cc(Oc2ccccc2I)c1,6.0,True
79,CCCCOc1ccccc1-c1ccccc1Br,11.0,False
80,CC(C)(C)Sc1ccccc1I,11.0,False
81,CC(C)Oc1cccc(Oc2ccccc2Br)c1,11.0,False
5527,Brc1ccccc1Oc1ccccc1Br,1.0,True
83,CCOc1ccc(-c2ccccc2Br)cc1OC,11.0,False
1139,Fc1c(Br)ccc(C(F)(F)F)c1F,1.0,True
85,Clc1ccccc1Nc1ccncc1,11.0,False
86,CCCCOc1c(OC)ccc(I)c1OC,11.0,False
87,CCOc1cccc(Cl)c1OCC(C)C,11.0,False
88,COc1ccccc1COCCOc1ccccc1Br,11.0,False
1204,Ic1ccccc1OCCc1ccccc1,2.0,True
90,FC(F)(F)c1ccc(C(F)(F)F)c(CCOc2ccccc2I)c1,4.0,True
91,O=[N+]([O-])c1cccc2cccc(I)c12,11.0,False
1941,CC(C)Oc1ccc(C(C)(C)C)cc1Br,0.0,True
93,Fc1cccc(I)c1Oc1ccccc1,3.0,True
94,FCCCOc1c(F)cccc1I,11.0,False
95,Fc1cccc(F)c1COc1ccccc1I,1.0,True
