,Products,depths,Solved
0,FC(F)(F)c1ccc(OCc2cccnc2)c(Cl)c1,11.0,False
1,FCCCOc1c(I)cccc1-c1ccccc1,11.0,False
2,CC(C)(C)CC(C)(C)Oc1ccccc1I,11.0,False
923,FC(F)(F)c1ccc(Cl)c(C(F)(F)F)c1,0.0,True
4,FC(F)Oc1cccc(Br)c1OC(F)F,2.0,True
5,FC(F)(F)COc1ccccc1Oc1ccccc1I,11.0,False
714,Ic1ccccc1OCc1cccc2ccccc12,5.0,True
7,CC1CCCN1CCOc1ccccc1Cl,11.0,False
1646,FCCCOc1ccccc1Br,0.0,True
9,COc1c(I)cccc1C1C(C)CC(=O)C1C,11.0,False
10,Brc1cc(Br)c2ccccc2c1,1.0,True
11,Clc1ccc(I)c(OCc2ccccc2)c1,2.0,True
12,CC(=O)c1cc(Oc2ccccc2I)ccc1F,4.0,True
13,Oc1c(I)cccc1OC(F)F,1.0,True
14,CC(C)Oc1cccc(I)c1C(F)(F)F,11.0,False
947,Nc1ccccc1I,1.0,True
3614,FC(F)(F)c1cc(Cl)cc(Oc2ccccc2I)c1,8.0,True
1702,Fc1cccc(Oc2cccc(Cl)c2)c1,2.0,True
18,Fc1cc(F)c(Oc2ccccc2Br)cc1F,11.0,False
19,COc1cc(F)cc(COc2ccccc2Br)c1,11.0,False
1832,Fc1cc(F)c(C(F)(F)F)cc1Oc1ccccc1I,8.0,True
21,CCCCCOc1c(C)cccc1Br,11.0,False
22,Cc1c(I)cc2ccccc2c1F,3.0,True
23,Fc1cc(F)c(COc2ccccc2Br)cc1F,11.0,False
24,Clc1ccccc1CCOc1ccccc1Cl,11.0,False
25,Cc1cccc(Oc2ccc(C(F)(F)F)cc2Br)c1C,11.0,False
1573,Cc1cccc(C)c1I,1.0,True
27,Nc1cccc2ccc3cccc(I)c3c(=O)c12,11.0,False
28,Ic1ccccc1COc1ccccc1,2.0,True
1404,Clc1cccc2c1OCCO2,1.0,True
30,FC(F)(F)c1cccc2c(Br)cccc12,11.0,False
32,FC(F)COc1c(Cl)cc(OC(F)F)cc1Br,11.0,False
33,CC(C)(C)c1ccc(O)c(Cl)c1,4.0,True
4205,COc1ccc(Oc2ccccc2I)c(Cl)c1,8.0,True
35,CCCCc1ccccc1Oc1ccccc1Br,11.0,False
36,Ic1ccccc1Oc1cccc2ccccc12,11.0,False
4098,COc1cccc(COc2ccccc2Br)c1,1.0,True
38,FCOc1ccccc1I,11.0,False
39,COc1c([O-])cccc1Cl,11.0,False
40,Cc1cccc(Cl)c1COc1ccccc1Cl,2.0,True
41,COc1cccc(Cl)c1OCc1ccc(C(F)(F)F)cc1,11.0,False
42,CC(C)c1cccc(COc2ccccc2Br)c1,11.0,False
43,COc1ccc(-c2ccccc2Br)c(OC)c1OC,11.0,False
44,Clc1ccccc1Oc1cccc(Cl)c1Cl,2.0,True
45,CC(C)c1ccnn1-c1c(Cl)cccc1Cl,3.0,True
46,CCCCOc1c(I)cccc1OCC(F)(F)F,11.0,False
47,CC(C)(C)c1cccc(Cl)c1Oc1c(F)cccc1Br,11.0,False
48,Clc1ccc(Cl)c(Cl)c1,1.0,True
49,Fc1c(Cl)cccc1C(F)F,1.0,True
50,COc1cc(OC(F)(F)F)ccc1I,1.0,True
51,Brc1cccc(-c2ccccc2)c1,1.0,True
66,Cc1cccc(Oc2c(Cl)cccc2C(F)(F)F)c1C,2.0,True
53,Oc1c(Cl)cccc1-c1ccccc1,2.0,True
2738,Oc1cccc2c(I)cccc12,0.0,True
55,FC(F)(F)COc1cccc(Cl)c1C(F)(F)F,11.0,False
56,Brc1cccc2cn[nH]c12,11.0,False
1151,COc1c(F)cccc1I,2.0,True
4922,COc1c(Cl)cccc1Oc1ccccc1,3.0,True
59,Cc1ccc(Oc2ccc(C)c(CCOc3ccccc3Br)c2)cc1Cl,11.0,False
60,Clc1cccc(Oc2cccc(Oc3ccccc3Cl)c2)c1,2.0,True
2162,Cc1cccc(CCCOc2ccccc2Cl)c1C,6.0,True
62,FC(F)Oc1cccc(Cl)c1OCCC(F)(F)F,4.0,True
208,FC(F)(F)c1cccc(COc2c(Cl)cccc2C(F)(F)F)c1,2.0,True
64,CCCC(C)(CC)COc1ccccc1I,11.0,False
65,CCOc1ccc(Br)c(OC(C)C)c1,11.0,False
3488,Fc1cc(Cl)ccc1Cl,0.0,True
68,Cc1cccc(C(F)(F)F)c1CCOc1ccccc1Cl,11.0,False
69,COc1cccc(I)c1OCC1(C)CCCCC1,3.0,True
70,CCCOc1c(O)cccc1Br,11.0,False
566,Cc1cccc(I)c1Cl,1.0,True
72,COc1cncc(Oc2ccccc2Cl)c1,11.0,False
73,Cc1ccc(F)c(COc2ccccc2Cl)c1,2.0,True
74,COc1ccccc1CCOc1c(C)cccc1Cl,11.0,False
75,Clc1cccc2[nH]ccc12,1.0,True
76,COc1cc(Cl)cc(I)c1C(F)(F)F,2.0,True
2712,Fc1cccc(C(F)(F)F)c1Oc1ccccc1I,8.0,True
3884,COc1cccc(I)c1OCc1cccc(C(F)(F)F)c1,2.0,True
79,Oc1ncccc1I,0.0,True
80,Brc1ccc2cccc(Br)c2c1,2.0,True
5374,FC(F)Oc1cc(OC(F)(F)F)ccc1Cl,2.0,True
82,Cc1cc(Oc2ccccc2I)c(C)c(C)c1Cl,3.0,True
3690,Cc1cccc(C(F)(F)F)c1Oc1ccc(C#N)cc1Br,2.0,True
84,N#Cc1cccc(Cl)c1F,1.0,True
85,N#Cc1ccc(Cl)c(F)c1,1.0,True
86,COc1cccc(Oc2ccc(Cl)cc2Br)c1,11.0,False
87,CCC(COc1ccccc1Cl)Cc1cccc(NC(C)(C)c2ccccc2C(C)(C)C)c1,11.0,False
1542,COc1ccc(F)cc1I,2.0,True
89,Fc1ncccc1I,2.0,True
4395,COc1cccc(I)c1Br,1.0,True
