,Products,depths,Solved
99,Nc1ncccc1Br,1.0,True
100,Fc1cc(Cl)c2c(Br)cccc2c1,11.0,False
101,Cc1ccccc1CCCOc1ccccc1Br,1.0,True
102,CC(C)(C)CCOc1cc(OCc2ccccc2C(C)(C)C)cc(Oc2ccccc2I)c1,11.0,False
103,CCCCOc1cccc(I)c1Cl,11.0,False
2203,Ic1cccc2ccsc12,4.0,True
106,Fc1cccc(CCCCOc2ccccc2Br)c1,11.0,False
107,CC(C)COc1cccc(Br)c1Cl,11.0,False
3236,Brc1ccccc1CCCOc1ccccc1Br,3.0,True
109,CCS(=O)(=O)Oc1ccccc1Br,11.0,False
110,FC(F)(F)c1ccc(I)c(Cl)c1,0.0,True
111,CSc1ccccc1Cl,1.0,True
2733,FC(F)(F)Oc1c(Cl)cccc1I,2.0,True
113,FC(F)(F)COc1cccc(Br)c1Cl,11.0,False
5543,CCOc1c(Cl)cccc1I,2.0,True
116,CC1(COc2c(Cl)cccc2OC(F)(F)F)CCCC1,11.0,False
117,FC(F)COc1ccccc1Cl,1.0,True
118,CC(C)(C)c1ccccc1Cl,2.0,True
6206,FC(F)(F)c1ccccc1COc1ccccc1Br,2.0,True
120,Fc1c(Br)cccc1Oc1ccccc1,1.0,True
895,COc1ccc(OC(F)(F)F)cc1Br,2.0,True
122,FC(F)(F)c1cc2c(Br)cccc2cc1Cl,11.0,False
4376,CCCCCCCOc1ccccc1Br,1.0,True
124,CCOc1cccc(Cl)c1OCC,11.0,False
4235,CCc1c(N)cccc1I,1.0,True
4759,O=[N+]([O-])c1cccc(Br)c1C(F)(F)F,2.0,True
4068,O=[N+]([O-])c1ccc(O)c(Oc2ccccc2Br)c1,2.0,True
128,COc1cc(C)c(OC)c(Cl)c1,6.0,True
129,CC1CCCCN1CCOc1ccccc1Cl,11.0,False
130,OC(F)(F)COc1ccccc1Cl,11.0,False
131,FC(F)(F)COc1ccncc1Cl,11.0,False
132,Cc1[nH]ccc1CCCCOc1ccccc1Cl,11.0,False
133,COc1cc(Oc2ccccc2Cl)ccc1C,11.0,False
134,Brc1ccccc1OCCc1cccnc1,3.0,True
135,Clc1cccc(Br)c1OC1CCCC1,2.0,True
136,Clc1ccc(Oc2cccc(Br)c2Cl)cc1,11.0,False
137,CC(C)n1cc(Br)c(=O)c2ccccc21,11.0,False
138,O=[N+]([O-])c1ccc(Cl)cc1Cl,1.0,True
139,CC(C)Oc1ccc(Cl)cc1Br,11.0,False
394,Clc1ccc2nccc(Cl)c2c1,1.0,True
141,CC(F)(F)c1cccc(F)c1Oc1ccccc1I,11.0,False
142,CCc1cccc(C(F)(F)F)c1Oc1ccccc1Br,11.0,False
2843,Fc1ccc(F)c(Oc2cccc(Br)c2Cl)c1,4.0,True
144,CCCOc1cccc(Oc2ccccc2Br)c1C,3.0,True
3379,Cc1cccc(Oc2ccccc2Cl)c1F,1.0,True
146,Fc1ccc(-c2ccc(Oc3ccccc3Br)cc2F)c(C(F)(F)F)c1,11.0,False
147,CCOc1cccc(Br)c1OCC(F)(F)F,11.0,False
148,CC(C)Oc1cccc(I)c1OC(C)C,11.0,False
149,FC(F)(F)COc1cc(Br)ccc1I,11.0,False
150,CCCCCOc1cccc(CCCOc2ccccc2Br)c1,11.0,False
6056,CC(C)(C)COc1cc(Cl)ccc1I,2.0,True
153,CCOc1c(Br)ccc2cc(OC)ccc12,11.0,False
1255,FC(F)(F)Oc1cccc(Cl)c1Br,0.0,True
155,COc1cccc(Br)c1OCc1[nH]ccc1C,11.0,False
156,O=c1ccccn1COc1ccccc1Cl,11.0,False
4880,Cc1ccc(Cl)c(Oc2ccccc2)c1,5.0,True
158,Ic1ccccc1OCc1cccs1,11.0,False
159,Cc1ccsc1CCOc1ccccc1Cl,11.0,False
160,CCOc1cc(F)c(F)c(Cl)c1,11.0,False
161,Cc1nccn1Cc1ccc(F)c(I)c1,11.0,False
3697,FC(F)C(F)(F)Oc1ccccc1Cl,2.0,True
163,FC1(F)CC1CCOc1ccccc1Cl,11.0,False
164,Ic1ccnc2ncccc12,11.0,False
1856,Clc1ccc(Oc2c(Cl)cccc2Br)c(Cl)c1,2.0,True
166,Brc1cccc(COc2ccccc2Br)c1,2.0,True
1750,Cc1cccc(Cl)c1F,1.0,True
168,CCOc1cc(F)ccc1Br,1.0,True
169,Fc1cccc(Oc2ccccc2Br)c1F,1.0,True
170,FC(F)(F)COc1ncccc1Cl,11.0,False
171,CCc1cccc(Cl)c1F,2.0,True
172,FCCOc1c(I)cccc1C(F)(F)F,11.0,False
4614,CCOc1c(I)ccc(C)c1Cl,1.0,True
174,COc1cc(F)c(I)cc1OCCC1(C)CCCCC1,11.0,False
175,Oc1ccccc1C(c1cnccn1)c1cc(Cl)ccc1Br,11.0,False
176,COc1cccc(Br)c1OCc1ccccc1C,11.0,False
6041,Fc1cccc(-c2ccccc2I)c1Cl,2.0,True
3503,COc1ccccc1Oc1ccc(Cl)cc1I,3.0,True
2363,Clc1ccc2c(Cl)nccc2c1,1.0,True
180,Clc1ccc2ccnc(Cl)c2c1,1.0,True
181,FCCCCOc1ccccc1COc1ccccc1Cl,11.0,False
182,CCOc1c(Cl)cccc1Br,1.0,True
183,Clc1cccc(Cl)c1OCC1CCC1,11.0,False
