,Products,depths,Solved
99,Cn1c(COc2ccccc2Cl)cc2ccccc21,1.0,True
100,CC1(C)CC1COc1ccccc1I,1.0,True
101,CC(C)(C)CCOc1c(Cl)cccc1C(F)(F)F,1.0,True
3940,Oc1cccc2c(Cl)nccc12,0.0,True
103,Fc1cc(Oc2ccccc2I)c(F)c(F)c1F,1.0,True
104,CC1(COc2ccccc2I)CCC1,1.0,True
105,CC(C)Oc1ccc(CCOc2ccccc2I)cc1,1.0,True
106,CC(C)(C)CC(C)(C)Oc1ccccc1I,1.0,True
108,FC(F)(F)c1cc(Cl)ccc1Oc1ccccc1I,1.0,True
109,CCOc1cccc(Cl)c1OC(F)(F)F,0.0,True
110,Brc1ncnc2ccccc12,0.0,True
111,COc1cc(Oc2ccccc2I)c(OC)cc1F,1.0,True
112,CCc1ccc(Cl)c(OC(F)(F)F)c1,0.0,True
113,COc1cc(Oc2ccccc2Br)ccc1Br,1.0,True
114,CCOc1ccc(Oc2ccccc2I)cc1OCC,1.0,True
115,COc1ccc(CCOc2ccccc2Br)cc1OC,1.0,True
116,Cc1cccc(C(F)(F)F)c1CCOc1ccccc1I,2.0,True
117,CCCc1ccccc1CCOc1ccccc1Br,2.0,True
118,CCCCOc1cc(OC(F)F)ccc1Cl,1.0,True
119,COc1ccccc1COc1c(Cl)ccc2ccccc12,1.0,True
3248,CC(C)Oc1cccc(Cl)c1F,0.0,True
121,FCCOc1ccc(Br)c(OCC(F)(F)F)c1,1.0,True
1073,Clc1ccc(Oc2ccccc2Br)cc1,0.0,True
123,Cc1cc(C)c(C)c(Br)c1,0.0,True
3014,Brc1ccccc1Oc1ccncc1,0.0,True
125,Fc1ccc(C(F)(F)F)cc1Br,0.0,True
126,Clc1cccc2cccc(I)c12,0.0,True
127,CCOc1cc(OC(F)F)ccc1I,1.0,True
128,Fc1ccc(Oc2cccc(Cl)c2)cc1Cl,1.0,True
129,O=[N+]([O-])c1cccc(Br)c1Oc1ccccc1,1.0,True
4474,COc1c(Cl)ccc(Cl)c1C,0.0,True
131,FC(F)(F)c1ccccc1Oc1ccc(Oc2ccccc2Br)cc1,1.0,True
132,Clc1ccccc1OCc1c(Cl)ccc(Cl)c1Cl,1.0,True
133,Cc1cccc(C(C)(C)C)c1Oc1ccccc1I,1.0,True
134,COc1ccncc1Oc1ccccc1Br,1.0,True
135,CC(C)Oc1c(Cl)cccc1I,0.0,True
136,Clc1ccc(Oc2ccccc2)c(Br)c1,1.0,True
137,CCOc1ccc2c(I)cccc2c1,1.0,True
138,FC(F)COc1cccc(Br)c1OC(F)(F)F,1.0,True
139,Clc1ccccc1Oc1cc2ccccc2c2ccccc12,1.0,True
140,CCCOc1c(Cl)cccc1I,1.0,True
141,CC(C)(C)c1cc(Oc2ccccc2Cl)ncc1Cl,2.0,True
142,FC(F)(F)c1cc(Cl)ccc1Br,0.0,True
143,Nc1ccc(Oc2ccccc2Cl)cc1,0.0,True
144,CC(=O)c1cc(Oc2ccccc2Cl)ccc1F,1.0,True
145,N#Cc1cccnc1I,0.0,True
146,CCCCCCCOc1ccccc1Br,0.0,True
147,CC(C)c1ccccc1COc1ccccc1I,1.0,True
1036,CCOc1c(Br)cccc1C(C)(C)C,0.0,True
149,Fc1ccc(F)c(Oc2cccc(I)c2Cl)c1,1.0,True
150,Cc1c(Cl)cccc1-c1ccccc1,0.0,True
151,Fc1cc(C(F)(F)F)ccc1Oc1ccccc1Cl,1.0,True
152,CCCOc1c(Cl)cccc1C(F)(F)F,1.0,True
153,COc1ccc(I)c(OCCCCc2ccccc2)c1,1.0,True
154,Oc1ccc2cccc(Br)c2c1,0.0,True
156,Oc1cc(F)ccc1Oc1ccccc1Br,1.0,True
3537,Cc1c(Cl)cccc1Oc1n[nH]c(=O)cc1Br,1.0,True
158,CC(C)Oc1ccc(OC(F)F)cc1Br,1.0,True
159,Brc1ccccc1OCCN1CCCCC1,0.0,True
160,Fc1ccc(OC(F)F)c(Cl)c1,0.0,True
161,CC(C)Oc1c(I)ccc(F)c1C#N,1.0,True
162,Cc1c(Cl)ccc(Oc2ccccc2Cl)c1C,1.0,True
